message
"В декабре на ВКМСК приступает к работе новое судно обеспечения 

Судно «Берилл» усилит флот «Росморпорта», сейчас оно  находится в морском порту Астрахани.

«Берилл» – головное судно проекта FPW1, предназначенное для комплексного сопровождения несамоходных земснарядов высокой производительности проекта FPDG3. 

В задачи судна входит буксировка, снабжение топливом и водой, а также вспомогательные работы при дноуглублении. 

Ледовый класс Ice1 позволяет эксплуатировать «Берилл» круглогодично, включая зимний период.

🖥Росморречфлот в MAX | ВК"
"❓Вы знали, где находится первая и единственная приливная электростанция России? В нашей рубрике #ауреки рассказываем.

Кислогубская ПЭС расположена в губе Кислая Баренцева моря, вблизи посёлка Ура-Губа Мурманской области. 
• Сооружена в 1964–1968 годах по проекту института «Гидропроект». 
• Введена в эксплуатацию 28 декабря 1968 года. 
• В 1994 году в связи со сложной экономической ситуацией ПЭС была законсервирована. 
• В 2004–2006 годах станция была восстановлена, возобновила работу в 2007 году как экспериментальная база для отработки новых гидроагрегатов и технологий сооружения приливных электростанций. 

Станция изначально задумывалась как экспериментальная площадка для отработки целого ряда перспективных технологий, таких как наплавной способ возведения здания станции, обеспечение постоянной работы сооружений и оборудования в суровых климатических условиях и при воздействии морской воды.
Строительство ПЭС было произведено передовым для того времени наплавным способом — железобетонное здание ПЭС, все генерирующее, гидромеханическое и вспомогательное оборудование сооружены в доке вблизи Мурманска, смонтированы в прямоугольном железобетонном блоке, изготовленном на судостроительном заводе, а затем отбуксированы к месту установки по морю. Слева и справа от блока из камня отсыпали небольшие плотины – и губа Кислая была перекрыта.

В одном из водоводов ПЭС был смонтирован французский капсульный гидроагрегат мощностью 0,4 МВт с диаметром рабочего колеса 3,3 м (демонтирован и заменён на новый в 2004 году), второй водовод, предназначавшийся для гидроагрегата отечественной разработки, был оставлен пустым.

В 1995 году за уникальность конструкции, способ сооружения и район размещения, Кислогубской ПЭС присвоен статус «Памятника науки и техники Российской Федерации».

🖥Росморречфлот в MAX | ВК"
""
""
""
""
""
"Сегодня страна отмечает День матери — день благодарности тем, кто подарил нам жизнь

В этот теплый праздник вместе с Росморречфлотом и Музеем морского и речного флота рассказываем об одной красивой морской традиции. У судов тоже есть свои «мамы» – крестные, которые благословляют их перед спуском на воду. 

Впервые это произошло в 1811 году в Великобритании – по решению короля Георга IV. Крестная стала символом защиты корабля и его экипажа. Кстати, в ту самую первую церемонию бутылка попала не в корабль, а в гостя, поэтому позже ее начали привязывать к тросу — так делают и до сих пор.

Подробнее о крестных матерях российских судов  — в карточках⬆️

#ПраздникиРФ

🦅Минтранс в MAX"
""
""
""
""
""
"🇷🇺Сегодня в рамках совместного с Музеем морского и речного флота
спецпроекта вновь перенесёмся на Дальний Восток и расскажем вам историю морского порта Петровпавловск-Камчатский. 

Проект «Защитники Отечества на реках и морях» приурочен к 80-летию Победы в Великой Отечественной войне. В нём собраны архивные фото и видео, тексты о значимых событиях, людях и судах. База данных регулярно пополняется и доступна по ссылке.

#Победа80"
"#рекаморе

Видео:
Ян Сильченко"
"Подведомственные Росморречфлоту вузы приняли участие в Всероссийском Конгрессе молодых учёных в «Сириусе».

Мероприятие собрало около 8 тысяч участников из 88 регионов страны и 1300 иностранных гостей из 90 стран.

В рамках Конгресса состоялась церемония награждения победителей конкурсов «Молодые учёные транспортной отрасли» и «Лучший студенческий реферат». 

Поздравляем наших студентов и преподавателей с успехами!

🖥Росморречфлот в MAX | ВК"
""
"Вот и лето прошло….

Сегодня в рубрике #ТрудовыеБудни новости от коллег из Администрации Двинско-Печорского бассейна.

🔵Наступил период интенсивной деятельности ремонтных баз учреждения - начало межнавигационного судоремонта. 
Все суда вернулись в места своей зимней дислокации.
🔵Завершена зимняя загрузка судоподъёмных средств для очередного освидетельствования РКО. 
🔵Береговыми специалистами ведутся  работы по очистке корпусов судов.
🔵Проводится дефектация корпусов и судовых механизмов.
🔵Обрабатываются ремонтные ведомости с формированием заявок на необходимые сменно-запасные части и материалы. 
🔵Всего учреждению предстоит подготовить к предстоящей навигации более 120 судов.

🖥Росморречфлот в MAX | ВК"
"⚡️В Камском бассейне перевыполнили план дноуглубительных работ

В навигацию 2025 года дноуглубительные работы провели на 56 перекатах Камского бассейна. 

Специалисты Администрации «Камводпуть» извлекли 1,3 млн куб. метров донного грунта. План на 2025 год по дноуглубительным работам выполнен на 120%.

🖥Росморречфлот в MAX | ВК"
"Ушаковцы победили в конкурсе для молодых специалистов транспортной отрасли. 

Доцент и аспирант кафедры «Судовождение» заняли 1-е и 2-е места:

🥇 — разработка в области «Цифровых систем в транспорте»: система для точного прогнозирования характеристик судна и оптимизации маршрутов.
🥈 — нейросетевая модель модель адаптивного слияния многомодальных навигационных данных, повышающая безопасность судов в условиях высокой неопределенности.

Конкурс прошел в рамках «Транспортной недели» в Москве, из 157 работ в финал прошли лишь 5. 

Поздравляем ученых вуза с победой!

🖥Росморречфлот в MAX | ВК"
"В рубрике #Флот сегодня расскажем про многофункциональное аварийно-спасательное судно проекта MPSV07 — «Спасатель Кавдейкин».

Характеристики судна:
Длина – 73 м;
Ширина габаритная – 16,60 м;
Высота борта на миделе – 6.70 м;
Тяговое усилие на швартовах – 70 тонн;
Вместимость грузовых трюмов – 94 м³;
Объем танков для собранной нефти – 668 м³;
Дальность плавания по запасам топлива – около 5000 миль.

Суда проекта MPSV07 отлично зарекомендовали себя в несении аварийно-спасательной готовности в акватории Северного морского пути, а также при обеспечении готовности на морских объектах нефтегазовых месторождений арктического шельфа.

 «Спасатель Кавдейкин» участвовал в различных учениях и спасательных операциях, среди которых: комплексные учения на Сахалине, ледовые проводки в порты Ванино и Советская Гавань и тушение условного пожара на судне «Рубин».

🖥Росморречфлот в MAX | ВК"
""
""
""
""
"📍Якутск. Какие вопросы обсудили на выездном совещании под председательством Помощника Президента РФ, Председателя Морской коллегии РФ Николая Патрушева:

Увеличение объёмов заказов на Жатайской судоверфи для обеспечения грузоперевозок по Ленскому бассейну и в Арктической зоне России.
Производственная мощность судоверфи составляет 10 судов класса «река-море» ежегодно. В дальнейшем ожидается возможность строительства судов арктического класса Arc4 и Arc5, а также выпуска узлов и конструкций для судов классов Arc6-Arc7. 

Перспективы развития порта Тикси, а также возможности строительства нового порта в  Хараулахской бухте моря Лаптевых. 
Порт станет одним из ключевых объектов международного транспортного коридора «Мохэ - Найба», формируемого в рамках Стратегии развития Северного морского пути и Трансарктического транспортного коридора до 2050 года.

Подробнее читайте на сайте Росморречфлота.

🖥Росморречфлот в MAX"
""
"В вузах Росморречфлота прошла масштабная ярмарка вакансий

В ГУМРФ им. адм. С.О. Макарова прошел «Океан карьеры» — крупнейшее мероприятие для будущих профессионалов транспортного комплекса.

В МГУ им. Г.И. Невельского прошел карьерный марафон «Карьера: полное погружение», в котором приняли участие более 1 400 студентов и курсантов, 38 компаний и сотни активных участников.  

На обеих площадках — встречи, мастер-классы, бизнес-игры и розыгрыши призов от ведущих компаний: «Сахалинская энергия», «ФЕМКО-менеджмент», «Нексайн», «Морской порт Суходол», «АЗИА», «МТС», бизнес-игра «Космос», профориентационные экскурсии, лекции, экскурсии на предприятия, а также Киноклуб для совершенствования английского языка.

🖥Росморречфлот в MAX | ВК"
"По Беломорско-Балтийскому каналу перевезли более 206 тыс. тонн грузов. Объём перевозок вырос на 1,1% по сравнению с прошлым годом. Итоги навигации подвели в Администрации «Беломорканал».  

🖥Росморречфлот в MAX | ВК"
"А вы знаете, как называется это удивительное явление на видео❓

В рубрике #ауреки рассказываем и показываем. Это — «ледяные блины» или «блинчатый лёд» — редкие и невероятно красивые структуры, которые образуются в очень холодных водоёмах: океанах, озёрах и реках.

Как же они появляются? 
Всё начинается с замёрзшей пены на поверхности воды, которая попадает в спиральный поток, закручивается и твердеет, превращаясь в диски. Водоворот соединяет эти диски, и они растут в размерах, образуя потрясающие ледяные картины.

Размеры ледяных блинов могут варьироваться от маленьких — около 20 см — до гигантских, достигающих 2 метров в диаметре!

Эти волшебные образования можно наблюдать в Мурманской области (река Титовка), Якутии (реки Лена, Вилюй, Алдан) и других регионах.

🖥Росморречфлот в MAX | ВК"
"В Волго-Балтийском бассейне увеличились грузоперевозки и пассажиропоток

За навигацию 2025 года в Волго-Балтийском бассейне выполнили 18,6 тысяч рейсов, перевезли 13,3 млн тонн грузов. Рост по сравнению с прошлым годом на 4% и 7% соответственно.

Общее количество шлюзований увеличилось на 6% и превысило 31 тысячу. Всего через шлюзы Волго-Балта пропустили 53 877 судов, что на 5% больше, чем годом ранее.

Пассажиропоток увеличился на 2% – по водным путям Волго-Балтийского бассейна перевезли свыше 383 тысяч пассажиров.

🖥Росморречфлот в MAX | ВК"
""
""
""
"Начинаем #ТрудовыеБудни вместе с коллегами из Рязанского филиала ФГБУ «Канал имени Москвы». 

За эту навигацию через водные пути Рязанского РГС прошло более 10 000 судов, что на 1,3% больше, чем в прошлом году.  Через шлюзы Белоомут и Кузьминск провели свыше 4 000 шлюзований, это на 6,5% больше, чем 2024 году. 

На гидроузлах навигация завершена, там приступили к постепенному сбросу напора.

На всех участках водного пути сняли береговые и плавучие знаки судовой обстановки. Коллеги готовятся к зимнему судоремонту. Суда вывели из эксплуатации и передали на отстой в караванную службу.

🖥Росморречфлот в MAX | ВК"
""
""
""
""
""
"🇷🇺Сегодня в рамках совместного с Музеем морского и речного флота
спецпроекта рассказываем вам об Алексее Павловиче Яскевиче.  

Проект «Защитники Отечества на реках и морях» приурочен к 80-летию Победы в Великой Отечественной войне. В нём собраны архивные фото и видео, тексты о значимых событиях, людях и судах. База данных регулярно пополняется и доступна по ссылке.

#Победа80"
"Друзья, по традиции приглашаем вас в Государственный Кремлевский Дворец!

В это воскресенье, 23 ноября в 16:10 по московскому времени в эфире Первого канала — Большой праздничный концерт, посвященный Дню работника транспорта. Присоединяйтесь — будем смотреть вместе 👋

🦅Минтранс в MAX"
"#рекаморе

Фото предоставлено:
ФБУ «Администрация «Амурводпуть»

🖥Росморречфлот в MAX | ВК"
""
